sex,agetext,address,studytime,freetime,failures,famsup,activities,higher,romantic,goout,alc text,absences text,G1 text,G2 text,G3 text,G1,G2,G3,age,absences,Dalc,Walc,ALC
F,18,U,2,3,0,no,yes,yes,yes,3,none,none,Sufficient,Poor,Sufficient,10,9,12,18,0,1,1,1
M,15,U,1,2,0,yes,no,yes,no,3,little,none,Sufficient,Poor,Sufficient,10,9,11,15,0,1,3,2
F,19-22,U,1,4,1,no,no,no,yes,4,none,none,Poor,Poor,Sufficient,9,9,10,19,0,1,1,1
M,18,R,1,4,1,no,yes,no,no,3,lots,none,Poor,Poor,Sufficient,8,9,10,18,0,3,4,3.5
F,16,R,2,4,0,no,yes,no,no,5,little,none,Poor,Poor,Poor,8,9,9,16,0,1,3,2
M,17,R,1,4,1,yes,no,yes,no,5,little,none,Sufficient,Poor,Poor,10,9,9,17,0,1,2,1.5
M,16,U,3,1,0,no,no,yes,no,3,little,none,Sufficient,Poor,Sufficient,10,9,10,16,0,2,2,2
F,17,R,2,1,0,no,no,yes,no,3,none,none,Sufficient,Poor,Sufficient,11,9,11,17,0,1,1,1
M,17,R,1,5,0,yes,yes,yes,yes,5,little,none,Sufficient,Poor,Sufficient,10,9,10,17,0,1,3,2
F,17,U,2,5,0,no,no,yes,no,4,none,none,Poor,Poor,Sufficient,6,9,11,17,0,1,1,1
M,15,R,2,4,0,no,yes,yes,no,4,none,none,Poor,Poor,Poor,7,8,8,15,0,1,1,1
M,16,U,1,4,2,no,no,yes,no,5,lots,none,Poor,Poor,Sufficient,9,8,10,16,0,3,5,4
M,17,R,2,3,0,no,yes,no,yes,5,lots,none,Poor,Poor,Poor,8,8,8,17,0,1,5,3
F,19-22,R,2,3,1,yes,no,no,no,3,lots,none,Poor,Poor,Sufficient,9,8,10,19,0,4,3,3.5
F,15,R,1,3,0,no,no,no,no,4,none,none,Poor,Poor,Poor,6,8,9,15,0,1,1,1
F,16,U,3,3,1,yes,no,yes,no,2,little,none,Sufficient,Poor,Poor,10,8,8,16,0,1,2,1.5
F,19-22,U,1,4,0,yes,no,no,no,4,none,none,Poor,Poor,Poor,6,8,7,19,0,1,1,1
F,17,U,2,5,0,yes,yes,yes,no,5,little,none,Poor,Poor,Poor,8,8,0,17,0,1,3,2
F,17,R,1,2,1,yes,no,yes,yes,1,little,none,Poor,Poor,Poor,8,8,9,17,0,1,2,1.5
M,19-22,R,1,3,1,no,no,yes,no,2,little,none,Poor,Poor,Poor,5,8,0,19,0,1,3,2
F,17,R,3,3,0,yes,yes,yes,no,4,none,none,Poor,Poor,Poor,7,7,8,17,0,1,1,1
F,16,R,2,4,3,yes,no,yes,no,3,none,none,Poor,Poor,Poor,7,7,8,16,0,1,1,1
M,16,R,2,2,0,no,yes,yes,no,1,none,none,Poor,Poor,Poor,8,7,0,16,0,1,1,1
M,18,R,1,4,0,no,yes,yes,yes,3,little,none,Poor,Poor,Poor,7,7,0,18,0,1,3,2
M,18,R,1,4,1,no,no,yes,no,3,lots,none,Poor,Poor,Poor,7,7,0,18,0,4,3,3.5
F,17,R,1,4,1,yes,no,no,no,4,little,none,Poor,Poor,Poor,6,6,7,17,0,2,2,2
F,16,U,1,1,0,no,yes,yes,no,3,little,none,Poor,Poor,Poor,8,6,8,16,0,1,3,2
F,18,R,1,5,1,no,no,no,yes,5,none,none,Poor,Poor,Poor,8,6,0,18,0,1,1,1
F,18,R,2,2,0,yes,no,yes,yes,2,lots,none,Poor,Poor,Poor,7,5,0,18,0,4,2,3
M,16,U,2,4,0,yes,yes,yes,yes,5,lots,none,Poor,Poor,Poor,7,0,0,16,0,4,5,4.5
M,17,U,1,2,1,no,yes,yes,yes,1,little,none,Poor,Poor,Poor,7,0,0,17,0,2,3,2.5
M,18,R,1,3,1,no,no,no,no,1,little,none,Poor,Poor,Poor,4,0,0,18,0,2,2,2
F,18,R,2,3,1,no,yes,yes,yes,3,none,none,Poor,Poor,Poor,9,0,0,18,0,1,1,1
F,18,R,2,3,0,no,yes,yes,yes,1,none,none,Poor,Poor,Poor,5,0,0,18,0,1,1,1
F,19-22,U,1,5,1,no,no,no,no,5,little,none,Poor,Poor,Poor,5,0,0,19,0,2,3,2.5
F,19-22,R,2,5,3,yes,yes,no,yes,4,little,none,Poor,Poor,Poor,8,0,0,19,0,1,4,2.5
F,18,U,2,1,0,no,no,yes,yes,3,little,few,Very good,Very good,Very good,16,16,16,18,1,1,2,1.5
F,17,R,1,2,0,no,no,yes,yes,3,little,few,Sufficient,Good,Good,13,14,14,17,1,1,2,1.5
F,18,R,2,4,0,no,yes,yes,no,3,lots,few,Sufficient,Good,Good,13,14,14,18,1,3,4,3.5
F,16,U,4,2,0,no,no,yes,yes,3,little,few,Sufficient,Sufficient,Sufficient,13,13,13,16,1,1,3,2
F,16,R,2,3,0,yes,yes,yes,no,4,none,few,Good,Sufficient,Good,14,13,14,16,1,1,1,1
M,15,U,1,3,0,no,no,yes,no,3,little,few,Sufficient,Sufficient,Sufficient,13,12,13,15,1,1,2,1.5
F,16,U,1,1,0,yes,no,yes,no,3,little,few,Sufficient,Sufficient,Sufficient,11,11,11,16,1,1,2,1.5
F,16,U,3,3,0,yes,no,yes,yes,5,little,few,Sufficient,Sufficient,Sufficient,10,11,12,16,1,1,4,2.5
F,15,R,2,3,0,yes,yes,yes,no,3,none,few,Sufficient,Sufficient,Sufficient,11,10,11,15,1,1,1,1
F,16,R,2,4,0,yes,no,no,no,5,little,few,Poor,Sufficient,Sufficient,9,10,11,16,1,1,2,1.5
F,16,U,1,4,1,yes,yes,yes,no,3,little,few,Poor,Sufficient,Sufficient,9,10,10,16,1,1,4,2.5
F,17,U,2,4,0,no,no,yes,yes,5,none,few,Sufficient,Poor,Sufficient,11,9,10,17,1,1,1,1
F,17,U,2,3,0,no,yes,yes,no,4,little,few,Very good,Excellent,Very good,17,18,17,17,2,1,3,2
M,16,U,4,2,0,no,yes,yes,no,2,none,few,Very good,Very good,Very good,17,17,17,16,2,1,1,1
M,17,R,2,5,0,yes,yes,yes,yes,2,little,few,Very good,Very good,Excellent,16,17,18,17,2,2,2,2
F,18,R,4,2,0,yes,yes,yes,no,2,none,few,Very good,Very good,Excellent,17,17,18,18,2,1,1,1
F,17,U,2,4,0,no,no,yes,no,4,little,few,Good,Very good,Good,14,16,15,17,2,1,3,2
M,18,U,2,2,0,no,yes,yes,no,4,little,few,Very good,Very good,Very good,16,16,16,18,2,1,2,1.5
M,18,U,2,3,0,yes,yes,yes,yes,2,little,few,Good,Very good,Very good,15,16,16,18,2,1,4,2.5
F,17,R,1,4,0,no,yes,yes,no,4,none,few,Good,Very good,Very good,15,16,17,17,2,1,1,1
M,15,U,2,3,0,yes,yes,yes,no,1,none,few,Good,Good,Good,15,15,15,15,2,1,1,1
F,16,U,2,2,0,yes,no,yes,no,3,none,few,Very good,Good,Very good,16,15,16,16,2,1,1,1
F,16,U,2,4,0,yes,yes,yes,no,3,little,few,Very good,Good,Very good,16,15,16,16,2,1,2,1.5
F,16,U,3,4,0,yes,yes,yes,yes,5,none,few,Good,Good,Good,15,15,14,16,2,1,1,1
F,17,U,4,2,0,yes,yes,yes,no,3,none,few,Good,Good,Very good,14,15,17,17,2,1,1,1
F,18,U,2,1,0,yes,no,yes,yes,2,little,few,Good,Good,Good,15,15,15,18,2,1,3,2
F,18,U,3,3,0,yes,yes,yes,yes,4,none,few,Good,Good,Very good,14,15,17,18,2,1,1,1
F,17,R,3,3,0,yes,yes,yes,no,4,lots,few,Good,Good,Very good,15,15,17,17,2,2,5,3.5
F,17,U,1,3,0,no,yes,yes,no,4,little,few,Good,Good,Very good,14,15,17,17,2,1,2,1.5
M,17,U,3,4,0,yes,no,yes,no,2,little,few,Sufficient,Good,Good,12,15,15,17,2,1,2,1.5
F,16,R,2,5,0,yes,no,yes,no,4,little,few,Good,Good,Good,15,15,15,16,2,1,2,1.5
F,15,U,2,3,0,yes,no,yes,no,3,little,few,Good,Good,Good,14,14,14,15,2,1,2,1.5
F,16,U,2,3,0,yes,yes,yes,no,2,none,few,Sufficient,Good,Good,13,14,14,16,2,1,1,1
F,16,U,2,3,0,yes,yes,yes,no,3,none,few,Sufficient,Good,Good,13,14,14,16,2,1,1,1
F,16,U,2,3,0,yes,yes,yes,no,5,lots,few,Good,Good,Good,14,14,15,16,2,1,5,3
M,17,R,3,3,0,no,no,yes,yes,3,none,few,Sufficient,Good,Good,13,14,15,17,2,1,1,1
F,16,R,1,4,0,yes,yes,yes,yes,4,little,few,Good,Good,Good,14,14,14,16,2,2,2,2
F,17,U,2,1,0,yes,no,yes,no,4,none,few,Sufficient,Sufficient,Sufficient,10,13,13,17,2,1,1,1
F,16,U,2,3,0,no,yes,yes,yes,4,none,few,Sufficient,Sufficient,Sufficient,12,13,12,16,2,1,1,1
F,16,U,3,3,0,yes,no,yes,no,5,none,few,Sufficient,Sufficient,Sufficient,12,13,13,16,2,1,1,1
M,15,U,1,3,0,yes,yes,yes,no,3,none,few,Sufficient,Sufficient,Sufficient,12,13,12,15,2,1,1,1
M,15,U,1,4,0,no,no,yes,no,3,little,few,Good,Sufficient,Good,14,13,14,15,2,1,2,1.5
F,15,U,3,2,0,yes,yes,yes,no,2,none,few,Sufficient,Sufficient,Sufficient,13,13,13,15,2,1,1,1
F,15,R,3,2,0,yes,yes,yes,yes,1,little,few,Sufficient,Sufficient,Sufficient,13,13,13,15,2,2,3,2.5
F,16,U,1,3,0,yes,no,yes,no,2,little,few,Sufficient,Sufficient,Sufficient,12,13,13,16,2,1,4,2.5
F,17,R,2,1,0,no,yes,yes,no,1,none,few,Sufficient,Sufficient,Sufficient,13,13,13,17,2,1,1,1
M,16,R,1,3,0,no,yes,yes,no,2,little,few,Good,Sufficient,Sufficient,14,13,12,16,2,1,3,2
F,18,U,2,4,0,yes,no,yes,no,3,none,few,Sufficient,Sufficient,Sufficient,13,13,13,18,2,1,1,1
F,19-22,U,2,3,0,yes,yes,yes,no,4,little,few,Good,Sufficient,Sufficient,14,13,13,19,2,2,3,2.5
F,18,U,2,3,0,no,yes,yes,no,5,none,few,Sufficient,Sufficient,Good,12,13,14,18,2,1,1,1
M,18,U,1,3,0,no,no,yes,yes,2,little,few,Good,Sufficient,Good,14,13,14,18,2,1,2,1.5
M,16,U,2,3,0,yes,yes,yes,no,3,none,few,Sufficient,Sufficient,Sufficient,12,12,13,16,2,1,1,1
F,15,R,3,3,0,yes,yes,yes,no,2,none,few,Sufficient,Sufficient,Sufficient,11,12,12,15,2,1,1,1
F,15,U,2,4,0,yes,yes,yes,no,4,none,few,Sufficient,Sufficient,Sufficient,13,12,12,15,2,1,1,1
M,15,U,2,3,0,no,yes,yes,no,3,little,few,Sufficient,Sufficient,Sufficient,13,12,13,15,2,1,3,2
F,15,U,2,3,0,yes,yes,yes,no,2,little,few,Sufficient,Sufficient,Sufficient,13,12,12,15,2,2,3,2.5
M,15,U,4,3,0,yes,yes,yes,no,4,none,few,Sufficient,Sufficient,Sufficient,11,12,12,15,2,1,1,1
F,16,U,2,2,0,yes,yes,yes,yes,2,little,few,Good,Sufficient,Sufficient,14,12,13,16,2,1,2,1.5
F,17,U,1,4,0,yes,no,yes,yes,4,little,few,Sufficient,Sufficient,Sufficient,13,12,12,17,2,1,3,2
M,17,U,1,2,0,no,no,yes,no,2,none,few,Poor,Sufficient,Sufficient,9,12,13,17,2,1,1,1
F,18,U,2,3,0,yes,no,yes,yes,4,little,few,Sufficient,Sufficient,Sufficient,12,12,13,18,2,1,3,2
F,17,R,3,3,0,yes,yes,yes,no,4,little,few,Sufficient,Sufficient,Good,11,12,14,17,2,1,3,2
F,17,U,3,2,0,no,yes,yes,no,3,none,few,Good,Sufficient,Sufficient,15,12,13,17,2,1,1,1
F,18,U,2,4,1,yes,yes,yes,yes,4,none,few,Good,Sufficient,Sufficient,14,12,13,18,2,1,1,1
F,18,U,2,3,0,yes,yes,yes,no,3,little,few,Sufficient,Sufficient,Good,12,12,15,18,2,1,2,1.5
F,17,U,2,2,0,no,yes,yes,yes,1,none,few,Sufficient,Sufficient,Good,11,12,14,17,2,1,1,1
F,17,U,2,2,0,no,yes,yes,no,3,little,few,Sufficient,Sufficient,Good,11,12,14,17,2,2,2,2
F,17,U,1,2,0,yes,yes,yes,no,5,lots,few,Sufficient,Sufficient,Sufficient,11,12,11,17,2,2,5,3.5
F,17,R,2,3,0,yes,yes,yes,no,3,little,few,Sufficient,Sufficient,Sufficient,12,12,12,17,2,1,2,1.5
F,17,U,2,3,0,yes,no,yes,no,3,none,few,Poor,Sufficient,Sufficient,9,11,11,17,2,1,1,1
F,15,R,3,3,0,yes,yes,yes,no,2,none,few,Sufficient,Sufficient,Sufficient,10,11,10,15,2,1,1,1
M,16,U,4,3,0,yes,no,yes,no,2,none,few,Sufficient,Sufficient,Sufficient,13,11,11,16,2,1,1,1
F,15,R,2,3,0,yes,no,yes,yes,4,lots,few,Sufficient,Sufficient,Sufficient,13,11,11,15,2,2,4,3
F,16,U,3,3,0,yes,no,yes,yes,3,little,few,Poor,Sufficient,Sufficient,9,11,11,16,2,1,3,2
M,15,R,2,3,0,yes,no,yes,yes,3,none,few,Sufficient,Sufficient,Sufficient,12,11,11,15,2,1,1,1
M,18,U,1,3,0,no,yes,yes,yes,4,lots,few,Sufficient,Sufficient,Sufficient,11,11,12,18,2,4,5,4.5
F,15,U,2,3,1,yes,no,yes,no,2,none,few,Sufficient,Sufficient,Sufficient,11,11,11,15,2,1,1,1
F,16,U,2,3,0,yes,no,yes,no,3,little,few,Sufficient,Sufficient,Sufficient,11,11,12,16,2,2,2,2
F,17,U,2,3,0,yes,no,yes,yes,1,little,few,Sufficient,Sufficient,Sufficient,11,11,12,17,2,1,4,2.5
F,17,U,4,4,0,no,yes,yes,yes,1,none,few,Sufficient,Sufficient,Sufficient,10,11,12,17,2,1,1,1
M,18,R,3,3,0,no,yes,yes,no,2,none,few,Sufficient,Sufficient,Sufficient,10,11,12,18,2,1,1,1
F,17,R,1,5,0,yes,no,yes,no,5,little,few,Sufficient,Sufficient,Sufficient,10,11,12,17,2,1,3,2
F,15,R,3,4,0,yes,no,yes,no,3,little,few,Good,Sufficient,Sufficient,14,11,12,15,2,2,2,2
F,16,R,2,4,1,yes,yes,yes,no,4,little,few,Sufficient,Sufficient,Sufficient,12,11,12,16,2,2,3,2.5
M,15,R,1,2,0,yes,yes,yes,no,4,lots,few,Sufficient,Sufficient,Sufficient,10,11,11,15,2,3,5,4
F,16,R,3,3,0,yes,no,yes,yes,3,little,few,Sufficient,Sufficient,Sufficient,11,11,11,16,2,2,2,2
M,17,R,1,1,0,no,yes,yes,yes,2,lots,few,Sufficient,Sufficient,Sufficient,12,11,12,17,2,3,3,3
M,16,U,2,4,0,yes,yes,yes,no,4,lots,few,Sufficient,Sufficient,Sufficient,10,10,10,16,2,2,4,3
M,18,U,2,3,0,yes,yes,yes,yes,2,lots,few,Poor,Sufficient,Sufficient,9,10,11,18,2,4,5,4.5
M,18,U,2,3,0,yes,no,yes,no,2,none,few,Sufficient,Sufficient,Sufficient,10,10,11,18,2,1,1,1
F,18,U,2,4,0,yes,no,yes,yes,4,little,few,Sufficient,Sufficient,Sufficient,10,10,11,18,2,1,2,1.5
F,18,U,1,3,0,yes,yes,yes,yes,5,lots,few,Sufficient,Sufficient,Sufficient,10,10,10,18,2,2,4,3
M,17,R,1,4,0,yes,no,yes,no,5,lots,few,Sufficient,Sufficient,Sufficient,11,10,10,17,2,5,5,5
F,17,R,1,5,0,yes,yes,no,yes,3,none,few,Poor,Sufficient,Sufficient,9,10,11,17,2,1,1,1
F,16,R,2,3,0,no,no,yes,yes,2,none,few,Poor,Sufficient,Sufficient,8,10,10,16,2,1,1,1
F,17,U,2,5,0,no,yes,yes,yes,5,little,few,Sufficient,Sufficient,Sufficient,11,10,11,17,2,1,2,1.5
F,18,U,2,4,1,no,no,no,no,2,little,few,Poor,Sufficient,Sufficient,9,10,10,18,2,1,2,1.5
F,18,U,2,2,0,no,no,yes,yes,3,little,few,Poor,Sufficient,Sufficient,8,10,11,18,2,1,2,1.5
M,15,U,3,3,0,no,no,yes,no,2,little,few,Sufficient,Poor,Poor,10,9,9,15,2,1,2,1.5
M,15,U,1,5,0,no,no,yes,no,5,little,few,Poor,Poor,Poor,9,9,9,15,2,3,2,2.5
M,17,R,2,4,0,no,no,yes,no,5,lots,few,Sufficient,Poor,Sufficient,10,9,10,17,2,2,4,3
F,15,R,1,5,1,no,yes,yes,yes,5,none,few,Poor,Poor,Poor,8,9,9,15,2,1,1,1
M,15,U,1,4,0,no,yes,yes,no,4,lots,few,Poor,Poor,Sufficient,8,9,10,15,2,2,4,3
M,16,U,2,4,0,yes,no,yes,no,2,none,few,Poor,Poor,Poor,9,9,9,16,2,1,1,1
M,18,U,1,2,0,yes,no,yes,no,5,lots,few,Poor,Poor,Sufficient,8,9,11,18,2,3,4,3.5
F,18,U,2,2,0,no,yes,yes,yes,5,none,few,Sufficient,Poor,Sufficient,10,9,10,18,2,1,1,1
F,16,R,3,4,0,yes,no,yes,no,3,none,few,Sufficient,Poor,Sufficient,10,9,10,16,2,1,1,1
F,16,R,2,2,0,yes,no,yes,no,1,none,few,Poor,Poor,Poor,7,9,8,16,2,1,1,1
M,17,R,1,3,3,no,yes,yes,yes,3,little,few,Poor,Poor,Poor,9,9,8,17,2,1,3,2
M,19-22,U,2,4,2,yes,yes,no,no,3,lots,few,Poor,Poor,Sufficient,9,9,10,19,2,3,4,3.5
F,17,R,2,4,3,yes,yes,yes,yes,4,none,few,Poor,Poor,Sufficient,7,9,10,17,2,1,1,1
M,16,R,1,5,0,no,no,yes,no,5,little,few,Sufficient,Poor,Sufficient,11,9,10,16,2,2,3,2.5
M,17,U,1,5,3,yes,yes,yes,no,5,lots,few,Poor,Poor,Poor,8,8,7,17,2,2,4,3
M,16,U,1,3,1,no,no,no,no,3,little,few,Poor,Poor,Poor,9,8,8,16,2,1,4,2.5
F,19-22,U,2,3,2,yes,no,yes,yes,4,none,few,Poor,Poor,Poor,8,8,9,19,2,1,1,1
F,16,R,1,4,0,yes,no,yes,yes,3,none,few,Sufficient,Poor,Poor,10,8,8,16,2,1,1,1
M,17,R,4,3,1,yes,no,yes,no,5,lots,few,Sufficient,Poor,Poor,10,8,9,17,2,3,5,4
F,18,U,2,3,2,yes,no,yes,no,3,none,few,Poor,Poor,Poor,6,8,8,18,2,1,1,1
M,16,U,2,2,0,no,no,yes,yes,2,little,few,Poor,Poor,Poor,9,7,8,16,2,1,4,2.5
M,18,R,1,3,1,yes,no,no,yes,3,little,few,Poor,Poor,Poor,9,7,9,18,2,2,3,2.5
F,16,U,1,1,0,no,no,yes,no,3,little,few,Poor,Poor,Poor,7,6,7,16,2,1,4,2.5
M,18,U,4,5,0,yes,yes,no,yes,5,lots,few,Poor,Poor,Poor,5,6,6,18,2,5,5,5
M,18,U,1,4,0,yes,yes,yes,no,5,none,few,Very good,Very good,Very good,17,17,17,18,3,1,1,1
F,15,R,1,1,0,no,no,yes,no,2,none,few,Sufficient,Sufficient,Sufficient,11,13,13,15,3,1,1,1
F,17,R,1,5,0,yes,yes,no,yes,5,little,few,Sufficient,Sufficient,Sufficient,10,11,10,17,3,2,2,2
M,18,R,1,3,0,yes,yes,no,yes,3,little,few,Poor,Sufficient,Sufficient,9,10,10,18,3,2,3,2.5
F,16,U,3,3,1,yes,no,yes,no,2,little,few,Poor,Poor,Poor,9,8,8,16,3,1,2,1.5
F,18,U,2,4,2,no,yes,yes,yes,4,little,few,Poor,Poor,Poor,7,8,7,18,3,2,2,2
F,18,R,2,3,1,yes,yes,yes,no,3,little,few,Poor,Poor,Poor,7,6,8,18,3,1,2,1.5
M,18,U,2,2,0,no,yes,yes,no,4,little,few,Very good,Excellent,Excellent,17,18,19,18,4,1,4,2.5
F,16,U,3,3,0,yes,yes,yes,no,2,none,few,Good,Very good,Very good,15,16,16,16,4,1,1,1
F,18,U,3,4,0,no,no,yes,yes,3,little,few,Good,Very good,Very good,14,16,17,18,4,2,3,2.5
F,17,U,2,3,0,yes,yes,yes,no,5,lots,few,Sufficient,Very good,Very good,12,16,16,17,4,2,4,3
F,15,U,3,3,0,yes,yes,yes,no,3,little,few,Good,Good,Good,15,15,15,15,4,1,3,2
M,15,U,2,4,0,yes,yes,yes,no,3,none,few,Very good,Good,Very good,16,15,16,15,4,1,1,1
F,16,U,2,3,0,no,yes,yes,yes,2,none,few,Good,Good,Good,14,15,15,16,4,1,1,1
M,16,U,1,3,0,no,yes,yes,no,2,little,few,Good,Good,Good,14,15,15,16,4,1,2,1.5
M,17,U,2,4,0,no,yes,yes,no,3,none,few,Good,Good,Very good,14,15,16,17,4,1,1,1
F,18,U,2,3,0,yes,no,yes,no,4,none,few,Good,Good,Very good,15,15,16,18,4,1,1,1
M,16,U,3,3,0,yes,yes,yes,no,3,none,few,Sufficient,Good,Good,13,14,14,16,4,1,1,1
M,15,U,1,5,0,no,yes,yes,no,3,none,few,Sufficient,Good,Good,13,14,14,15,4,1,1,1
F,15,U,3,3,0,yes,yes,yes,yes,3,none,few,Sufficient,Good,Good,13,14,15,15,4,1,1,1
F,17,U,2,4,0,no,yes,yes,no,2,none,few,Good,Good,Good,14,14,15,17,4,1,1,1
F,17,R,3,3,0,no,yes,yes,no,3,little,few,Good,Good,Good,15,14,15,17,4,1,3,2
F,17,U,2,3,0,yes,yes,yes,no,2,none,few,Good,Good,Good,15,14,14,17,4,1,1,1
F,17,U,3,3,0,yes,no,yes,yes,3,little,few,Good,Good,Good,15,14,15,17,4,1,2,1.5
F,18,U,4,3,0,yes,no,yes,no,3,none,few,Good,Good,Good,14,14,15,18,4,1,1,1
M,18,R,3,3,0,no,no,yes,yes,2,little,few,Good,Good,Very good,15,14,17,18,4,1,2,1.5
F,17,U,2,3,0,yes,yes,yes,yes,4,none,few,Good,Good,Good,15,14,15,17,4,1,1,1
M,16,R,3,4,0,yes,yes,yes,yes,3,none,few,Sufficient,Sufficient,Sufficient,13,13,13,16,4,1,1,1
F,15,R,4,1,0,yes,yes,yes,no,2,none,few,Sufficient,Sufficient,Sufficient,13,13,13,15,4,1,1,1
F,16,U,1,3,0,no,yes,yes,no,4,little,few,Sufficient,Sufficient,Sufficient,12,13,13,16,4,1,2,1.5
M,16,U,1,4,0,yes,yes,yes,no,4,little,few,Sufficient,Sufficient,Sufficient,12,13,13,16,4,1,4,2.5
M,17,U,1,2,0,no,no,yes,no,3,little,few,Sufficient,Sufficient,Good,13,13,14,17,4,1,2,1.5
F,17,U,1,3,0,yes,no,yes,no,3,little,few,Sufficient,Sufficient,Sufficient,12,13,13,17,4,1,4,2.5
M,19-22,U,2,3,0,yes,no,yes,no,1,none,few,Sufficient,Sufficient,Good,11,13,14,19,4,1,1,1
F,17,U,2,2,0,yes,no,yes,yes,2,none,few,Good,Sufficient,Sufficient,14,13,13,17,4,1,1,1
F,18,U,2,1,0,yes,yes,yes,yes,2,little,few,Sufficient,Sufficient,Sufficient,10,13,13,18,4,1,2,1.5
M,17,R,1,2,0,no,no,no,no,3,lots,few,Sufficient,Sufficient,Good,12,13,14,17,4,3,4,3.5
M,16,U,1,4,0,yes,no,yes,no,3,none,few,Sufficient,Sufficient,Sufficient,12,12,12,16,4,1,1,1
M,15,U,2,3,0,yes,no,yes,no,3,little,few,Sufficient,Sufficient,Sufficient,11,12,13,15,4,2,2,2
M,16,U,3,2,0,yes,no,yes,yes,3,little,few,Sufficient,Sufficient,Sufficient,13,12,13,16,4,2,2,2
F,16,U,2,4,0,yes,yes,yes,no,3,little,few,Sufficient,Sufficient,Sufficient,11,12,12,16,4,1,3,2
F,19-22,U,4,3,0,yes,yes,yes,no,3,little,few,Sufficient,Sufficient,Sufficient,12,12,12,19,4,1,2,1.5
F,18,U,3,4,0,yes,no,yes,no,3,little,few,Sufficient,Sufficient,Good,11,12,14,18,4,2,3,2.5
M,18,U,2,4,0,yes,yes,yes,yes,5,little,few,Sufficient,Sufficient,Good,10,12,14,18,4,1,3,2
F,18,U,1,4,0,yes,yes,yes,yes,4,none,few,Sufficient,Sufficient,Good,11,12,14,18,4,1,1,1
F,15,R,2,5,0,yes,no,yes,yes,4,none,few,Sufficient,Sufficient,Sufficient,13,12,12,15,4,1,1,1
F,18,U,2,3,0,no,no,yes,no,4,none,few,Poor,Sufficient,Sufficient,0,11,11,18,4,1,1,1
M,16,U,2,4,0,yes,yes,yes,yes,5,lots,few,Sufficient,Sufficient,Sufficient,12,11,12,16,4,5,5,5
F,15,U,1,5,0,yes,yes,yes,no,1,none,few,Sufficient,Sufficient,Sufficient,11,11,11,15,4,1,1,1
F,15,U,2,2,0,yes,yes,yes,yes,2,none,few,Sufficient,Sufficient,Sufficient,10,11,11,15,4,1,1,1
F,16,U,2,3,0,yes,yes,yes,no,3,lots,few,Sufficient,Sufficient,Sufficient,11,11,11,16,4,2,4,3
F,15,U,2,4,0,yes,no,yes,no,4,none,few,Sufficient,Sufficient,Sufficient,12,11,11,15,4,1,1,1
F,15,U,2,4,0,no,no,yes,yes,4,little,few,Sufficient,Sufficient,Sufficient,12,11,12,15,4,2,3,2.5
F,16,R,3,1,0,yes,yes,yes,no,2,none,few,Sufficient,Sufficient,Sufficient,11,11,11,16,4,1,1,1
M,16,U,1,3,0,yes,yes,yes,no,3,little,few,Sufficient,Sufficient,Sufficient,12,11,11,16,4,2,2,2
F,16,U,1,4,0,no,no,yes,no,4,lots,few,Sufficient,Sufficient,Sufficient,10,11,11,16,4,3,3,3
M,17,U,2,2,0,yes,yes,yes,yes,3,none,few,Sufficient,Sufficient,Sufficient,11,11,13,17,4,1,1,1
F,16,U,1,3,0,no,no,no,no,5,little,few,Sufficient,Sufficient,Sufficient,12,11,11,16,4,1,2,1.5
M,16,U,2,3,1,yes,no,yes,no,3,little,few,Poor,Sufficient,Sufficient,9,11,10,16,4,1,3,2
F,18,R,2,2,0,no,no,yes,no,3,none,few,Sufficient,Sufficient,Sufficient,11,11,13,18,4,1,1,1
M,17,R,1,5,0,yes,yes,yes,no,5,lots,few,Sufficient,Sufficient,Sufficient,10,11,11,17,4,5,5,5
F,18,R,1,2,1,no,no,no,yes,3,none,few,Poor,Sufficient,Sufficient,9,11,10,18,4,1,1,1
M,17,U,1,1,0,no,no,yes,yes,2,none,few,Sufficient,Sufficient,Sufficient,11,11,12,17,4,1,1,1
M,19-22,U,1,2,3,no,yes,yes,no,1,none,few,Poor,Sufficient,Poor,6,11,9,19,4,1,1,1
